dataset_name,split,category,seq_num,domain_s1,n_s1,s1_1st,s1_tr,normalize,config_file
TSB-M-DRIFT001,M,DRIFT,1,Medical,1240,79433,50000,per_series,configs\tsb_auto\TSB-M-DRIFT001__resnet.yaml
TSB-M-DRIFT002,M,DRIFT,2,Medical,816,52315,50000,per_series,configs\tsb_auto\TSB-M-DRIFT002__resnet.yaml
TSB-M-DRIFT003,M,DRIFT,3,Medical,1611,103211,37500,per_series,configs\tsb_auto\TSB-M-DRIFT003__resnet.yaml
TSB-M-DRIFT005,M,DRIFT,5,Medical,907,58118,50000,per_series,configs\tsb_auto\TSB-M-DRIFT005__resnet.yaml
TSB-M-DRIFT006,M,DRIFT,6,Medical,907,58118,50000,per_series,configs\tsb_auto\TSB-M-DRIFT006__resnet.yaml
TSB-M-DRIFT007,M,DRIFT,7,Medical,846,54253,50000,per_series,configs\tsb_auto\TSB-M-DRIFT007__resnet.yaml
TSB-M-DRIFT008,M,DRIFT,8,Medical,898,57595,50000,per_series,configs\tsb_auto\TSB-M-DRIFT008__resnet.yaml
TSB-M-DRIFT010,M,DRIFT,10,Medical,816,52315,50000,per_series,configs\tsb_auto\TSB-M-DRIFT010__resnet.yaml
TSB-M-DRIFT011,M,DRIFT,11,Medical,57,3718,3618,per_series,configs\tsb_auto\TSB-M-DRIFT011__resnet.yaml
TSB-M-DRIFT012,M,DRIFT,12,Medical,242,15602,15502,per_series,configs\tsb_auto\TSB-M-DRIFT012__resnet.yaml
TSB-M-DRIFT013,M,DRIFT,13,Medical,1320,84572,50000,per_series,configs\tsb_auto\TSB-M-DRIFT013__resnet.yaml
TSB-M-DRIFT014,M,DRIFT,14,Medical,816,52315,50000,per_series,configs\tsb_auto\TSB-M-DRIFT014__resnet.yaml
TSB-M-DRIFT015,M,DRIFT,15,Medical,1320,84572,50000,per_series,configs\tsb_auto\TSB-M-DRIFT015__resnet.yaml
TSB-M-DRIFT016,M,DRIFT,16,Medical,477,30595,30495,per_series,configs\tsb_auto\TSB-M-DRIFT016__resnet.yaml
TSB-M-DRIFT017,M,DRIFT,17,Medical,1611,103211,37500,per_series,configs\tsb_auto\TSB-M-DRIFT017__resnet.yaml
TSB-M-DRIFT018,M,DRIFT,18,Medical,1611,103211,37500,per_series,configs\tsb_auto\TSB-M-DRIFT018__resnet.yaml
TSB-M-DRIFT019,M,DRIFT,19,Medical,816,52315,50000,per_series,configs\tsb_auto\TSB-M-DRIFT019__resnet.yaml
