method,dataset,split,category,arm,eval_mode,metric,auroc,aupr,fpr95,n_eval,drift_delay,seed,timestamp
diversify,TSB-U-DRIFT_002_SEG_4031_019_NAB_id_19_Facility_tr_100,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,1.0,1.0,0.0,12,,42,2026-08-24T22:29:34
diversify,TSB-U-DRIFT_002_SEG_4031_019_NAB_id_19_Facility_tr_100,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.6944,0.7544,0.8333,12,,42,2026-08-24T22:29:34
diversify,TSB-U-DRIFT_004_SEG_18380_105_WSD_id_77_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.3194,0.4328,1.0,24,,42,2026-08-24T22:29:35
diversify,TSB-U-DRIFT_004_SEG_18380_105_WSD_id_77_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.7431,0.7913,0.6667,24,,42,2026-08-24T22:29:35
diversify,TSB-U-DRIFT_006_SEG_18236_067_WSD_id_39_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.7143,0.7988,1.0,14,,42,2026-08-24T22:29:41
diversify,TSB-U-DRIFT_006_SEG_18236_067_WSD_id_39_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.4082,0.4999,1.0,14,,42,2026-08-24T22:29:41
diversify,TSB-U-DRIFT_007_SEG_18391_054_WSD_id_26_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.3878,0.498,1.0,14,,42,2026-08-24T22:29:43
diversify,TSB-U-DRIFT_007_SEG_18391_054_WSD_id_26_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.3673,0.5997,1.0,14,,42,2026-08-24T22:29:43
diversify,TSB-U-DRIFT_009_SEG_18236_047_WSD_id_19_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.0,0.3833,1.0,6,,42,2026-08-24T22:29:51
diversify,TSB-U-DRIFT_009_SEG_18236_047_WSD_id_19_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,1.0,1.0,0.0,6,,42,2026-08-24T22:29:51
diversify,TSB-U-DRIFT_010_SEG_12000_521_UCR_id_219_Facility_tr_3,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.4953,0.6966,1.0,62,,42,2026-08-24T22:29:54
