dataset,category,variant,auroc,aupr,fpr95,n,seed,timestamp
TSB-U-DRIFT_002_SEG_4031_019_NAB_id_19_Facility_tr_100,DRIFT,batch,0.6126,0.73,0.9091,34,42,2026-09-01T14:19:32
TSB-U-DRIFT_002_SEG_4031_019_NAB_id_19_Facility_tr_100,DRIFT,online,0.2253,0.5328,0.9091,34,42,2026-09-01T14:19:32
TSB-U-DRIFT_004_SEG_18380_105_WSD_id_77_WebService_tr_,DRIFT,batch,0.4849,0.5379,0.7826,49,42,2026-09-01T14:19:46
TSB-U-DRIFT_004_SEG_18380_105_WSD_id_77_WebService_tr_,DRIFT,online,0.3428,0.4436,1.0,49,42,2026-09-01T14:19:46
TSB-U-DRIFT_006_SEG_18236_067_WSD_id_39_WebService_tr_,DRIFT,batch,0.744,0.2141,0.5649,144,42,2026-09-01T14:20:13
TSB-U-DRIFT_006_SEG_18236_067_WSD_id_39_WebService_tr_,DRIFT,online,0.6982,0.2047,0.8779,144,42,2026-09-01T14:20:13
TSB-U-DRIFT_007_SEG_18391_054_WSD_id_26_WebService_tr_,DRIFT,batch,0.7768,0.6018,0.6667,38,42,2026-09-01T14:20:26
TSB-U-DRIFT_007_SEG_18391_054_WSD_id_26_WebService_tr_,DRIFT,online,0.375,0.3342,1.0,38,42,2026-09-01T14:20:26
TSB-U-DRIFT_009_SEG_18236_047_WSD_id_19_WebService_tr_,DRIFT,batch,0.7135,0.3801,0.6275,159,42,2026-09-01T14:20:56
TSB-U-DRIFT_009_SEG_18236_047_WSD_id_19_WebService_tr_,DRIFT,online,0.6939,0.1165,0.6471,159,42,2026-09-01T14:20:56
TSB-U-DRIFT_010_SEG_12000_521_UCR_id_219_Facility_tr_3,DRIFT,batch,0.9767,0.9928,0.1311,241,42,2026-09-01T14:21:40
TSB-U-DRIFT_010_SEG_12000_521_UCR_id_219_Facility_tr_3,DRIFT,online,0.541,0.7912,0.8852,241,42,2026-09-01T14:21:40
TSB-U-DRIFT_012_SEG_18049_023_NAB_id_23_Facility_tr_45,DRIFT,batch,0.9203,0.9426,0.6323,302,42,2026-09-01T14:22:38
TSB-U-DRIFT_012_SEG_18049_023_NAB_id_23_Facility_tr_45,DRIFT,online,0.7543,0.8243,0.9355,302,42,2026-09-01T14:22:38
TSB-U-DRIFT_013_SEG_4031_022_NAB_id_22_Facility_tr_100,DRIFT,batch,0.2916,0.817,1.0,222,42,2026-09-01T14:23:19
TSB-U-DRIFT_013_SEG_4031_022_NAB_id_22_Facility_tr_100,DRIFT,online,0.0142,0.7054,1.0,222,42,2026-09-01T14:23:19
TSB-U-DRIFT_014_SEG_18236_050_WSD_id_22_WebService_tr_,DRIFT,batch,0.8875,0.4494,0.3833,128,42,2026-09-01T14:24:22
TSB-U-DRIFT_014_SEG_18236_050_WSD_id_22_WebService_tr_,DRIFT,online,0.7854,0.3801,0.8167,128,42,2026-09-01T14:24:22
TSB-U-DRIFT_015_SEG_18236_095_WSD_id_67_WebService_tr_,DRIFT,batch,0.4059,0.5017,0.9048,42,42,2026-09-01T14:24:48
TSB-U-DRIFT_015_SEG_18236_095_WSD_id_67_WebService_tr_,DRIFT,online,0.0454,0.3244,1.0,42,42,2026-09-01T14:24:48
TSB-U-OOD_001_SEG_18236_118_WSD_id_90_WebService_tr_45,OOD,batch,0.8883,0.8832,0.4407,108,42,2026-09-01T14:25:16
TSB-U-OOD_001_SEG_18236_118_WSD_id_90_WebService_tr_45,OOD,online,0.6942,0.7235,1.0,108,42,2026-09-01T14:25:16
TSB-U-OOD_002_SEG_4031_024_NAB_id_24_Synthetic_tr_1007,OOD,batch,0.7764,0.9594,0.7692,218,42,2026-09-01T14:25:32
TSB-U-OOD_002_SEG_4031_024_NAB_id_24_Synthetic_tr_1007,OOD,online,0.0755,0.7312,1.0,218,42,2026-09-01T14:25:32
TSB-U-OOD_003_SEG_10028_306_UCR_id_4_Medical_tr_2507_1,OOD,batch,0.9958,0.9889,0.0125,104,42,2026-09-01T14:26:14
TSB-U-OOD_003_SEG_10028_306_UCR_id_4_Medical_tr_2507_1,OOD,online,0.9297,0.871,0.425,104,42,2026-09-01T14:26:14
TSB-U-OOD_004_SEG_149123_263_IOPS_id_4_WebService_tr_3,OOD,batch,0.6576,0.8979,1.0,163,42,2026-09-01T14:26:45
TSB-U-OOD_004_SEG_149123_263_IOPS_id_4_WebService_tr_3,OOD,online,0.1448,0.6514,1.0,163,42,2026-09-01T14:26:45
TSB-U-OOD_005_SEG_130400_237_SVDB_id_1_Medical_tr_1158,OOD,batch,0.6336,0.8774,0.9818,495,42,2026-09-01T14:27:36
TSB-U-OOD_005_SEG_130400_237_SVDB_id_1_Medical_tr_1158,OOD,online,0.0978,0.6036,1.0,495,42,2026-09-01T14:27:36
TSB-U-OOD_006_SEG_2430_147_MSL_id_8_Sensor_tr_590_1st_,OOD,batch,0.8008,0.9611,0.6667,47,42,2026-09-01T14:28:34
TSB-U-OOD_006_SEG_2430_147_MSL_id_8_Sensor_tr_590_1st_,OOD,online,0.3211,0.773,0.6667,47,42,2026-09-01T14:28:34
TSB-U-OOD_009_SEG_8184_504_UCR_id_202_Environment_tr_2,OOD,batch,0.8822,0.7117,0.5,60,42,2026-09-01T14:28:51
TSB-U-OOD_009_SEG_8184_504_UCR_id_202_Environment_tr_2,OOD,online,0.7163,0.45,0.9231,60,42,2026-09-01T14:28:51
TSB-U-OOD_011_SEG_4031_028_NAB_id_28_Facility_tr_1007_,OOD,batch,0.4031,0.4095,0.9062,52,42,2026-09-01T14:29:05
TSB-U-OOD_011_SEG_4031_028_NAB_id_28_Facility_tr_1007_,OOD,online,0.2562,0.2815,1.0,52,42,2026-09-01T14:29:05
TSB-U-OOD_012_SEG_18236_099_WSD_id_71_WebService_tr_45,OOD,batch,0.9786,0.897,0.1778,144,42,2026-09-01T14:29:38
TSB-U-OOD_012_SEG_18236_099_WSD_id_71_WebService_tr_45,OOD,online,0.9086,0.6926,0.3704,144,42,2026-09-01T14:29:38
TSB-U-OOD_013_SEG_100000_231_MGAB_id_7_Synthetic_tr_25,OOD,batch,0.6414,0.3942,0.955,366,42,2026-09-01T14:31:07
TSB-U-OOD_013_SEG_100000_231_MGAB_id_7_Synthetic_tr_25,OOD,online,0.6446,0.3166,0.982,366,42,2026-09-01T14:31:07
TSB-U-STABLE_002_SEG_18236_048_WSD_id_20_WebService_tr,STABLE,batch,0.997,0.9484,0.009,117,42,2026-09-01T14:32:45
TSB-U-STABLE_002_SEG_18236_048_WSD_id_20_WebService_tr,STABLE,online,0.997,0.9484,0.009,117,42,2026-09-01T14:32:45
TSB-U-STABLE_003_SEG_1680_580_YAHOO_id_30_WebService_t,STABLE,batch,0.32,0.9218,1.0,27,42,2026-09-01T14:33:04
TSB-U-STABLE_003_SEG_1680_580_YAHOO_id_30_WebService_t,STABLE,online,0.02,0.8154,1.0,27,42,2026-09-01T14:33:04
TSB-U-STABLE_004_SEG_1680_561_YAHOO_id_11_WebService_t,STABLE,batch,0.4314,0.8537,1.0,20,42,2026-09-01T14:33:10
TSB-U-STABLE_004_SEG_1680_561_YAHOO_id_11_WebService_t,STABLE,online,0.0196,0.6935,1.0,20,42,2026-09-01T14:33:10
TSB-U-STABLE_009_SEG_1680_686_YAHOO_id_136_WebService_,STABLE,batch,0.7024,0.7969,0.5714,19,42,2026-09-01T14:33:16
TSB-U-STABLE_009_SEG_1680_686_YAHOO_id_136_WebService_,STABLE,online,0.2857,0.535,1.0,19,42,2026-09-01T14:33:16
TSB-U-STABLE_010_SEG_18391_054_WSD_id_26_WebService_tr,STABLE,batch,0.7076,0.8136,0.6667,79,42,2026-09-01T14:33:26
TSB-U-STABLE_010_SEG_18391_054_WSD_id_26_WebService_tr,STABLE,online,0.1015,0.5156,1.0,79,42,2026-09-01T14:33:26
TSB-U-STABLE_014_SEG_1680_555_YAHOO_id_5_WebService_tr,STABLE,batch,0.5357,0.7264,0.8571,19,42,2026-09-01T14:33:37
TSB-U-STABLE_014_SEG_1680_555_YAHOO_id_5_WebService_tr,STABLE,online,0.2262,0.5067,1.0,19,42,2026-09-01T14:33:37
TSB-U-STABLE_018_SEG_59000_490_UCR_id_188_Medical_tr_1,STABLE,batch,0.6585,0.0702,0.8946,462,42,2026-09-01T14:35:07
TSB-U-STABLE_018_SEG_59000_490_UCR_id_188_Medical_tr_1,STABLE,online,0.3422,0.0415,0.9731,462,42,2026-09-01T14:35:07
TSB-U-STABLE_021_SEG_10686_032_WSD_id_4_WebService_tr_,STABLE,batch,0.6156,0.4987,0.975,56,42,2026-09-01T14:35:54
TSB-U-STABLE_021_SEG_10686_032_WSD_id_4_WebService_tr_,STABLE,online,0.4375,0.2654,1.0,56,42,2026-09-01T14:35:54
TSB-U-STABLE_022_SEG_7415_371_UCR_id_69_Medical_tr_185,STABLE,batch,0.6818,0.4577,0.8276,69,42,2026-09-01T14:36:11
TSB-U-STABLE_022_SEG_7415_371_UCR_id_69_Medical_tr_185,STABLE,online,0.7132,0.581,0.9655,69,42,2026-09-01T14:36:11
